Date,Close,Percent Change,Volume
3/11/2020,1423.09,0.00%,"2,221,081,690.00"
3/12/2020,1377.18,0.00%,"2,206,662,182.00"
3/15/2020,1313.04,0.00%,"2,101,417,292.00"
3/16/2020,1316.39,0.00%,"1,615,341,877.00"
3/17/2020,1272.06,0.00%,"1,465,184,656.00"
3/18/2020,1255.8,0.00%,"1,184,416,878.00"
3/19/2020,1269.3,0.00%,"1,903,142,008.00"
3/22/2020,1251.45,0.00%,"194,642,984.00"
5/12/2020,1226.15,0.00%,"104,372,646.00"
5/13/2020,1201.57,0.00%,"3,613,523.00"
6/29/2020,1188.7,0.00%,"347,771,833.00"
6/30/2020,1260.75,0.00%,"227,212,194.00"
7/1/2020,1336.52,0.00%,"407,352,247.00"
7/2/2020,1256.11,0.00%,"476,654,971.00"
7/5/2020,1265.45,0.00%,"1,033,390,231.00"
7/6/2020,1298.73,0.00%,"927,841,329.00"
7/7/2020,1336.66,0.00%,"1,199,041,859.00"
7/8/2020,1326.53,0.00%,"1,078,462,141.00"
7/9/2020,1331.27,0.00%,"908,086,197.00"
7/12/2020,1340.29,0.00%,"1,111,090,272.00"
7/13/2020,1342.4,0.00%,"1,088,716,118.00"
7/14/2020,1347.44,0.00%,"994,545,109.00"
7/15/2020,1362.34,0.00%,"1,160,491,522.00"
7/16/2020,1394.77,0.00%,"1,041,770,867.00"
7/19/2020,1479.03,0.00%,"62,566,293.00"
7/20/2020,1464.94,0.00%,"2,802,233,715.00"
7/21/2020,1449.94,0.00%,"1,872,220,447.00"
7/22/2020,1432.44,0.00%,"1,532,511,716.00"
7/23/2020,1442.61,0.00%,"1,327,135,218.00"
7/26/2020,1465.1,0.00%,"1,942,679,380.00"
7/27/2020,1462.48,0.00%,"1,793,915,286.00"
7/28/2020,1454.89,0.00%,"1,259,751,557.00"
7/29/2020,1431.52,0.00%,"1,687,093,091.00"
7/30/2020,1439.06,0.00%,"1,320,266,678.00"
8/2/2020,1396.28,0.00%,"1,841,242,332.00"
8/3/2020,1403.86,0.00%,"1,290,252,213.00"
8/5/2020,1382.66,0.00%,"1,189,526,408.00"
8/6/2020,1381.37,0.00%,"920,997,056.00"
8/9/2020,1392.68,0.00%,"977,895,525.00"
8/10/2020,1430.41,0.00%,"1,555,518,923.00"
8/11/2020,1423.81,0.00%,"1,271,738,914.00"
8/12/2020,1425.32,0.00%,"951,960,208.00"
8/13/2020,1408.79,0.00%,"1,048,911,791.00"
8/16/2020,1391.46,0.00%,"1,259,320,850.00"
8/17/2020,1402.21,0.00%,"1,074,932,597.00"
8/18/2020,1407.89,0.00%,"1,239,017,426.00"
8/19/2020,1391.29,0.00%,"976,235,059.00"
8/20/2020,1397.57,0.00%,"393,129,068.00"
8/23/2020,1410.34,0.00%,"1,108,053,597.00"
8/24/2020,1431.6,0.00%,"2,139,202,075.00"
8/25/2020,1440.94,0.00%,"1,855,180,510.00"
8/26/2020,1462.03,0.00%,"2,656,163,730.00"
8/27/2020,1458.04,0.00%,"1,981,761,050.00"
8/30/2020,1462.67,0.00%,"1,614,554,300.00"
8/31/2020,1484.99,0.00%,"3,462,586,125.00"
9/2/2020,1510.57,0.00%,"4,181,036,115.00"
9/3/2020,1510.42,0.00%,"2,634,886,231.00"
9/6/2020,1499.97,0.00%,"2,782,377,887.00"
9/7/2020,1487.81,0.00%,"2,164,930,214.00"
9/8/2020,1495.15,0.00%,"1,798,363,063.00"
9/9/2020,1508.2,0.00%,"2,563,415,186.00"
9/10/2020,1520.69,0.00%,"2,170,068,283.00"
9/13/2020,1537.25,0.00%,"3,386,859,972.00"
9/14/2020,1540.51,0.00%,"3,134,135,908.00"
9/15/2020,1536.03,0.00%,"1,800,197,903.00"
9/16/2020,1541.4,0.00%,"1,845,634,030.00"
9/17/2020,1572.18,0.00%,"3,315,664,319.00"
9/20/2020,1575.18,0.00%,"2,742,795,692.00"
9/21/2020,1569.06,0.00%,"2,637,376,216.00"
9/22/2020,1546.15,0.00%,"2,810,425,268.00"
9/23/2020,1555.52,0.00%,"1,727,821,707.00"
9/24/2020,1561.27,0.00%,"2,233,489,024.00"
9/27/2020,1565.55,0.00%,"3,138,243,371.00"
9/28/2020,1560.83,0.00%,"1,690,154,525.00"
9/29/2020,1553.62,0.00%,"1,829,872,968.00"
9/30/2020,1550.43,0.00%,"1,953,636,694.00"
10/1/2020,1571.04,0.00%,"2,807,708,137.00"
